,mR,mG,mB,stdR,stdG,stdB,varR,varG,varB,Dc1,Dc2,Dc3,De1,De2,De3,ID
82,157.937746667,145.068986667,146.019464,83.0974051692,71.52224984,72.431352897,6905.17874586,5115.43222217,5246.30088249,0.128890168626,0.360468276463,0.0732669281223,26208.2420051,41510.6514765,16891.2885536,10152.0
83,164.064325641,147.501535897,103.991820513,87.8412509436,94.5067086356,105.102173096,7716.08536734,8931.51797713,11046.4667895,0.0686666537227,0.266195641279,0.213274972549,23852.6126871,58655.9412592,49340.3071433,28358.0
84,211.986410667,201.572386667,198.464149333,80.4546429031,92.4913083493,93.71273106,6472.94956466,8554.64212017,8782.07596273,0.0519717067104,0.0908079131035,0.0206139315148,19622.8158275,25455.4283405,11755.3207953,25566.0
85,96.7170533333,92.597808,91.77572,93.4184235783,86.0365211539,80.6206743696,8727.00186385,7402.28297226,6499.69313581,0.0201707565924,0.0796307845695,0.0248651445658,12181.4621865,22811.7626675,11857.7908145,11384.0
86,162.256184,163.495189333,163.64844,82.4802233372,81.3615189521,89.8498123624,6802.98724176,6619.69676619,8072.98878157,0.199569664857,0.416534669315,0.085705660893,31709.4076419,48334.7182054,22291.9190515,11592.0
87,199.953442667,177.227349333,135.808632,70.9694051294,80.2215324562,72.4431025262,5036.65646441,6435.49426961,5248.00310362,0.221734113266,0.690237059902,0.502597700097,34242.8651109,64848.1379532,53447.5345643,16318.0
88,160.541264,116.183272,73.591704,77.1578003744,77.4197568112,51.7644970842,5953.32615862,5993.81874471,2679.56315838,0.116503920765,0.504350316949,0.464864591711,35494.2669878,67732.4641586,48211.2998995,15266.0
89,86.5273013333,69.9234266667,61.2253333333,78.9363442864,67.0789662054,61.5800929161,6230.9464493,4499.58770719,3792.10784356,0.113887220595,0.314517816422,0.0967339708161,24665.3440884,38725.5391441,18422.7244185,14853.0
90,136.580368,135.651314667,128.10984,92.6778224154,84.8385117574,80.2521054958,8589.17876765,7197.5730772,6440.40043651,0.025880485793,0.0609693683866,0.00964329937326,13265.975162,20613.2117342,8857.64872864,27804.0
91,89.9300613333,60.8698506667,51.9912293333,92.2842167324,81.2514524659,73.1068052309,8516.37665792,6601.79852782,5344.60497108,0.107348747909,0.166328407737,0.0296261124188,31080.9520607,38978.0321463,13653.6455571,23508.0
92,200.088752,179.784885333,166.926602667,69.6384274407,80.1886490243,87.02024938,4849.51057642,6430.21943235,7572.52380216,0.0899254204393,0.132154336327,0.0473253398573,23936.4729231,33560.881812,18088.1390972,13687.0
93,205.712011096,184.505661581,164.864391123,68.1981247478,83.4371884054,107.385397565,4650.98421912,6961.764409,11531.6236102,0.233293152598,0.447594450358,0.0697725129671,34683.7899746,59316.9920765,28223.4769297,28651.0
94,26.254629776,13.3111541502,13.2520711462,36.77527527,24.6026412769,24.4001916676,1352.42087119,605.289957798,595.369353418,0.108706968799,0.102051790402,0.00477858541214,13944.9579777,13848.5625608,1481.27242599,16925.0
95,135.420498667,119.269674667,97.366448,89.5880749479,75.0728307062,69.9948946224,8026.02317287,5635.92991024,4899.2852732,0.128280151667,0.381812437929,0.0923094160125,28703.6879338,49826.4688795,23523.8397376,19400.0
96,105.774768,99.4203893333,122.680456,63.7904985287,63.7917164383,61.1647569626,4069.22770255,4069.38308614,3741.1274943,0.226055235353,0.493860768206,0.124429055143,26552.9214965,39432.7904034,23866.2475685,10895.0
97,88.0657066667,55.5108746667,34.694896,84.7702068573,76.7981941394,55.6792051627,7185.98797063,5897.96262307,3100.17388755,0.0802060525494,0.13165600189,0.11582894413,28511.0818455,43029.9869626,26480.4190677,13688.0
98,77.521376,53.6668266667,36.5520613333,87.6924045765,76.0931774659,59.0337338049,7689.9578204,5790.17165686,3484.98172695,0.0351924678557,0.124201820715,0.044352341477,20975.3940607,37678.2893056,19193.8169471,29979.0
99,52.6616693333,42.5004053333,54.9676853333,62.749343702,50.2147748228,50.5914038656,3937.48013503,2521.5236105,2559.4901451,0.0763227142713,0.40431537086,0.292287316179,16673.4511125,31938.5782401,24804.1024833,24789.0
100,215.496973333,186.820618667,174.179386667,61.7866725773,101.043999754,104.410776566,3817.59290817,10209.8898863,10901.6102631,0.379092069099,0.169201819625,0.165187365634,51588.3178539,46261.7480755,37030.1394002,18576.0
101,127.725085333,149.030882667,135.480928,79.9327093535,70.9807476498,65.7573551698,6389.23802459,5038.26653693,4324.02975893,0.133079979042,0.476990299961,0.169415766126,27686.9687759,44477.6846857,25925.7356887,27858.0
102,195.7570253,175.471486019,163.750668442,64.3100717059,74.7859264177,84.2637893836,4135.78532282,5592.93479015,7100.38620128,0.0495820896665,0.10113969042,0.0159412553783,19360.1378094,30753.4758198,12679.1228798,25560.0
103,81.2373304843,83.1547834758,64.9971709402,62.0219172882,62.182311447,44.0811973596,3846.7182241,3866.63985689,1943.15196066,0.177426219187,0.179763741963,0.103978367204,21946.7460458,23464.1158367,20755.9158796,26235.0
